source_label,target_label,value
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Processing of meat poultry'                                                                                                            ,233110840000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Re-processing of secondary preciuos metals into new preciuos metals'                                                                   ,378432320000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Re-processing of secondary aluminium into new aluminium'                                                                               ,256073940000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Copper production'                                                                                                                     ,241916350000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Production of electricity by solar photovoltaic'                                                                                       ,1630877200000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Distribution and trade of electricity'                                                                                                 ,211582220000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Other land transport'                                                                                                                  ,265746500000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Mexico'                   /     {'Inland water transport'                                                                                                                ,665450560000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,"    {'Mexico'                   /     {'""Supporting and auxiliary transport activities; activities of travel agencies (63)""'                                                   ",295050230000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,"    {'Mexico'                   /     {'Financial intermediation, except insurance and pension funding (65)'                                                                   ",477422660000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,"    {'Mexico'                   /     {'Insurance and pension funding, except compulsory social security (66)'                                                                 ",478750000000000.0
    {'Brazil'                   /     {'Re-processing of secondary construction material into aggregates'                                                                      ,    {'Taiwan'                   /     {'Manufacture of coke oven products'                                                                                                     ,251336030000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Denmark'                  /     {'Re-processing of secondary glass into new glass'                                                                                       ,229964850000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Denmark'                  /     {'Manufacture of medical, precision and optical instruments, watches and clocks (33)'                                                    ",323957570000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Denmark'                  /     {'Production of electricity by Geothermal'                                                                                               ,357504400000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Denmark'                  /     {'Distribution and trade of electricity'                                                                                                 ,297266830000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Denmark'                  /     {'Re-processing of secondary construction material into aggregates'                                                                      ,374053370000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Croatia'                  /     {'Manufacture of glass and glass products'                                                                                               ,343077520000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Croatia'                  /     {'Other non-ferrous metal production'                                                                                                    ,281820650000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Croatia'                  /     {'Manufacture of machinery and equipment n.e.c. (29)'                                                                                    ,242926350000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Croatia'                  /     {'Manufacture of motor vehicles, trailers and semi-trailers (34)'                                                                        ",337861960000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Latvia'                   /     {'Petroleum Refinery'                                                                                                                    ,207965490000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'South Korea'              /     {'Quarrying of sand and clay'                                                                                                            ,269430970000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'South Korea'              /     {'Pulp'                                                                                                                                  ,381267070000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'South Korea'              /     {'Manufacture of coke oven products'                                                                                                     ,234523990000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'South Korea'              /     {'N-fertiliser'                                                                                                                          ,260774930000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'South Korea'              /     {'P- and other fertiliser'                                                                                                               ,301036140000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'South Korea'              /     {'Financial intermediation, except insurance and pension funding (65)'                                                                   ",365011760000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'South Korea'              /     {'Activities of membership organisation n.e.c. (91)'                                                                                     ,275661770000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Quarrying of stone'                                                                                                                    ,545359980000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Quarrying of sand and clay'                                                                                                            ,225501800000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Processing of meat pigs'                                                                                                               ,243883850000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Brazil'                   /     {'Plastics, basic'                                                                                                                       ",1624514000000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'N-fertiliser'                                                                                                                          ,506628030000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Chemicals nec'                                                                                                                         ,236883540000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Manufacture of glass and glass products'                                                                                               ,1391183000000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Manufacture of ceramic goods'                                                                                                          ,248794690000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Manufacture of basic iron and steel and of ferro-alloys and first products thereof'                                                    ,990803800000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Re-processing of secondary steel into new steel'                                                                                       ,495883230000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Precious metals production'                                                                                                            ,378645830000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Aluminium production'                                                                                                                  ,2774891000000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Brazil'                   /     {'Re-processing of secondary lead into new lead, zinc and tin'                                                                           ",4828909000000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Re-processing of secondary copper into new copper'                                                                                     ,708984300000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals'                                                 ,363624100000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Casting of metals'                                                                                                                     ,2067944300000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Manufacture of machinery and equipment n.e.c. (29)'                                                                                    ,243325280000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Manufacture of office machinery and computers (30)'                                                                                    ,364560400000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brazil'                   /     {'Manufacture of electrical machinery and apparatus n.e.c. (31)'                                                                         ,299388550000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'India'                    /     {'Re-processing of secondary wood material into new wood material'                                                                       ,252812030000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'India'                    /     {'Petroleum Refinery'                                                                                                                    ,250306900000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'India'                    /     {'Re-processing of secondary copper into new copper'                                                                                     ,597794750000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'India'                    /     {'Manufacture of electrical machinery and apparatus n.e.c. (31)'                                                                         ,415584930000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'India'                    /     {'Production of electricity by tide, wave, ocean'                                                                                        ",275072220000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'India'                    /     {'Production of electricity by Geothermal'                                                                                               ,688257700000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Processing of meat cattle'                                                                                                             ,562195580000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Processing of meat poultry'                                                                                                            ,523169460000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Re-processing of secondary preciuos metals into new preciuos metals'                                                                   ,849313740000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Aluminium production'                                                                                                                  ,256633910000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Re-processing of secondary aluminium into new aluminium'                                                                               ,574705400000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Mexico'                   /     {'Lead, zinc and tin production'                                                                                                         ",350725520000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Copper production'                                                                                                                     ,542931600000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Re-processing of secondary copper into new copper'                                                                                     ,317657260000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Production of electricity by solar photovoltaic'                                                                                       ,3660169300000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Production of electricity by Geothermal'                                                                                               ,348748630000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Production of electricity nec'                                                                                                         ,278024490000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Distribution and trade of electricity'                                                                                                 ,474852900000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Mexico'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",256772200000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Hotels and restaurants (55)'                                                                                                           ,397915000000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Other land transport'                                                                                                                  ,596413500000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Inland water transport'                                                                                                                ,1493467200000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Mexico'                   /     {'""Supporting and auxiliary transport activities; activities of travel agencies (63)""'                                                   ",662179740000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Mexico'                   /     {'Financial intermediation, except insurance and pension funding (65)'                                                                   ",1071477240000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Mexico'                   /     {'Insurance and pension funding, except compulsory social security (66)'                                                                 ",1074456200000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Activities auxiliary to financial intermediation (67)'                                                                                 ,319666900000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Real estate activities (70)'                                                                                                           ,227839040000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Mexico'                   /     {'Renting of machinery and equipment without operator and of personal and household goods (71)'                                          ,378422560000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Russia'                   /     {'""Supporting and auxiliary transport activities; activities of travel agencies (63)""'                                                   ",265943670000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ","    {'Australia'                /     {'Cultivation of sugar cane, sugar beet'                                                                                                 ",368707980000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Switzerland'              /     {'Cultivation of crops nec'                                                                                                              ,253528700000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Switzerland'              /     {'Mining of precious metal ores and concentrates'                                                                                        ,215617510000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Turkey'                   /     {'Re-processing of secondary paper into new pulp'                                                                                        ,244618120000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Taiwan'                   /     {'Manufacture of coke oven products'                                                                                                     ,564072200000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Taiwan'                   /     {'Precious metals production'                                                                                                            ,202976650000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Taiwan'                   /     {'Re-processing of secondary aluminium into new aluminium'                                                                               ,279041710000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Indonesia'                /     {'Production of electricity by petroleum and other oil derivatives'                                                                      ,224483200000000.0
"    {'Turkey'                   /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",    {'Brunei'                   /     {'Production of electricity by hydro'                                                                                                    ,331895000000000.0
    {'Iceland'                  /     {'Processed rice'                                                                                                                        ,"    {'Brazil'                   /     {'Re-processing of secondary lead into new lead, zinc and tin'                                                                           ",246852440000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Austria'                  /     {'Construction (45)'                                                                                                                     ,202681700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Belgium'                  /     {'Computer and related activities (72)'                                                                                                  ,246671310000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Bulgaria'                 /     {'Animal products nec'                                                                                                                   ,214227280000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Bulgaria'                 /     {'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying'                                       ",226619470000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Denmark'                  /     {'Forestry, logging and related service activities (02)'                                                                                 ",337780860000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'N-fertiliser'                                                                                                                          ,727076560000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Chemicals nec'                                                                                                                         ,204048750000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Re-processing of secondary glass into new glass'                                                                                       ,959751240000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Re-processing of ash into clinker'                                                                                                     ,213948310000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Denmark'                  /     {'Manufacture of medical, precision and optical instruments, watches and clocks (33)'                                                    ",1352027000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Manufacture of other transport equipment (35)'                                                                                         ,314637300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Recycling of waste and scrap'                                                                                                          ,607379400000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Production of electricity by wind'                                                                                                     ,207224940000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Production of electricity by biomass and waste'                                                                                        ,471529360000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Production of electricity by solar photovoltaic'                                                                                       ,318174200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Production of electricity by solar thermal'                                                                                            ,272576400000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Production of electricity by Geothermal'                                                                                               ,1492033700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Transmission of electricity'                                                                                                           ,404906570000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Distribution and trade of electricity'                                                                                                 ,1240634000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Construction (45)'                                                                                                                     ,836074500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Denmark'                  /     {'Re-processing of secondary construction material into aggregates'                                                                      ,1561100200000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Denmark'                  /     {'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries'                   ",395977800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Denmark'                  /     {'""Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)""'                                 ",308246380000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Denmark'                  /     {'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)'                                                   ",238145370000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Finland'                  /     {'Other business activities (74)'                                                                                                        ,232274500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'France'                   /     {'Extraction of natural gas and services related to natural gas extraction, excluding surveying'                                         ",829057000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'France'                   /     {'Processing of meat pigs'                                                                                                               ,346814250000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'France'                   /     {'Processing of meat poultry'                                                                                                            ,437434500000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'France'                   /     {'Processed rice'                                                                                                                        ,372727160000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'France'                   /     {'Sugar refining'                                                                                                                        ,536759540000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'France'                   /     {'Manufacture of beverages'                                                                                                              ,243143580000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Production of meat products nec'                                                                                                       ,392537860000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Manufacture of glass and glass products'                                                                                               ,1431823600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Manufacture of other non-metallic mineral products n.e.c.'                                                                             ,628484440000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Manufacture of basic iron and steel and of ferro-alloys and first products thereof'                                                    ,205938030000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Croatia'                  /     {'Lead, zinc and tin production'                                                                                                         ",270483970000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Other non-ferrous metal production'                                                                                                    ,1176169800000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Casting of metals'                                                                                                                     ,469011770000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Manufacture of machinery and equipment n.e.c. (29)'                                                                                    ,1013845700000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Manufacture of electrical machinery and apparatus n.e.c. (31)'                                                                         ,274784730000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Croatia'                  /     {'Manufacture of medical, precision and optical instruments, watches and clocks (33)'                                                    ",635149960000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Croatia'                  /     {'Manufacture of motor vehicles, trailers and semi-trailers (34)'                                                                        ",1410056600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Croatia'                  /     {'Manufacture of tobacco products (16)'                                                                                                  ,421612850000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Luxembourg'               /     {'Raw milk'                                                                                                                              ,294336220000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Luxembourg'               /     {'Distribution and trade of electricity'                                                                                                 ,217029010000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Latvia'                   /     {'Cultivation of crops nec'                                                                                                              ,400523180000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Latvia'                   /     {'Processing of meat poultry'                                                                                                            ,658728860000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Latvia'                   /     {'Processing of Food products nec'                                                                                                       ,542612340000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Latvia'                   /     {'Petroleum Refinery'                                                                                                                    ,867937600000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Latvia'                   /     {'N-fertiliser'                                                                                                                          ,667386900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Latvia'                   /     {'Manufacture of glass and glass products'                                                                                               ,417665840000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Latvia'                   /     {'Re-processing of secondary glass into new glass'                                                                                       ,756799900000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Latvia'                   /     {'Manufacture of bricks, tiles and construction products, in baked clay'                                                                 ",204719680000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Sweden'                   /     {'Meat animals nec'                                                                                                                      ,360011000000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,"    {'Sweden'                   /     {'Mining of lead, zinc and tin ores and concentrates'                                                                                    ",317909550000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Sweden'                   /     {'Quarrying of sand and clay'                                                                                                            ,339365300000000.0
    {'Burundi'                  /     {'Paper'                                                                                                                                 ,    {'Sweden'                   /     {'Production of meat products nec'                                                                                                       ,382934600000000.0
